API_DATA_IMPORT_JOB,END_TIME,datetime
API_DATA_IMPORT_JOB,ERROR_LOG,varchar
API_DATA_IMPORT_JOB,ID,bigint
API_DATA_IMPORT_JOB,IMPORT_DATE,date
API_DATA_IMPORT_JOB,RECORDS_LOADED,bigint
API_DATA_IMPORT_JOB,RECORDS_RECEIVED,bigint
API_DATA_IMPORT_JOB,SOURCE,varchar
API_DATA_IMPORT_JOB,START_TIME,datetime
API_DATA_IMPORT_JOB,STATUS,varchar
API_DATA_IMPORT_JOB,TIME_TAKEN,time
API_DATA_IMPORT_JOB,UPLOAD_FILE_TYPE,varchar
AllocationPointer,id,bigint
AllocationPointer,pointer,int
BATCH_JOB_EXECUTION,CREATE_TIME,datetime
BATCH_JOB_EXECUTION,END_TIME,datetime
BATCH_JOB_EXECUTION,EXIT_CODE,varchar
BATCH_JOB_EXECUTION,EXIT_MESSAGE,varchar
BATCH_JOB_EXECUTION,JOB_CONFIGURATION_LOCATION,varchar
BATCH_JOB_EXECUTION,JOB_EXECUTION_ID,bigint
BATCH_JOB_EXECUTION,JOB_INSTANCE_ID,bigint
BATCH_JOB_EXECUTION,LAST_UPDATED,datetime
BATCH_JOB_EXECUTION,START_TIME,datetime
BATCH_JOB_EXECUTION,STATUS,varchar
BATCH_JOB_EXECUTION,VERSION,bigint
BATCH_JOB_EXECUTION_CONTEXT,JOB_EXECUTION_ID,bigint
BATCH_JOB_EXECUTION_CONTEXT,SERIALIZED_CONTEXT,text
BATCH_JOB_EXECUTION_CONTEXT,SHORT_CONTEXT,varchar
BATCH_JOB_EXECUTION_PARAMS,DATE_VAL,datetime
BATCH_JOB_EXECUTION_PARAMS,DOUBLE_VAL,double
BATCH_JOB_EXECUTION_PARAMS,IDENTIFYING,char
BATCH_JOB_EXECUTION_PARAMS,JOB_EXECUTION_ID,bigint
BATCH_JOB_EXECUTION_PARAMS,KEY_NAME,varchar
BATCH_JOB_EXECUTION_PARAMS,LONG_VAL,bigint
BATCH_JOB_EXECUTION_PARAMS,STRING_VAL,varchar
BATCH_JOB_EXECUTION_PARAMS,TYPE_CD,varchar
BATCH_JOB_EXECUTION_SEQ,ID,bigint
BATCH_JOB_EXECUTION_SEQ,UNIQUE_KEY,char
BATCH_JOB_INSTANCE,JOB_INSTANCE_ID,bigint
BATCH_JOB_INSTANCE,JOB_KEY,varchar
BATCH_JOB_INSTANCE,JOB_NAME,varchar
BATCH_JOB_INSTANCE,VERSION,bigint
BATCH_JOB_SEQ,ID,bigint
BATCH_JOB_SEQ,UNIQUE_KEY,char
